# #1 
#  double data(52560,2)
3.540067352879620739e+04 3.000000000000000000e+00
3.600068494453851599e+04 3.000000000000000000e+00
3.660069636028082459e+04 3.000000000000000000e+00
3.720070777602313319e+04 3.000000000000000000e+00
3.780071919176544179e+04 3.000000000000000000e+00
3.840073060750775039e+04 3.000000000000000000e+00
3.900074202325005899e+04 3.000000000000000000e+00
3.960075343899236759e+04 3.000000000000000000e+00
4.020076485473467619e+04 3.000000000000000000e+00
4.080077627047698479e+04 3.000000000000000000e+00
4.140078768621929339e+04 3.000000000000000000e+00
4.200079910196160199e+04 3.000000000000000000e+00
4.260081051770391059e+04 3.000000000000000000e+00
4.320082193344621919e+04 3.000000000000000000e+00
4.380083334918852779e+04 3.000000000000000000e+00
4.440084476493083639e+04 3.000000000000000000e+00
4.500085618067314499e+04 3.000000000000000000e+00
4.560086759641545359e+04 3.000000000000000000e+00
4.620087901215776219e+04 3.000000000000000000e+00
4.680089042790007079e+04 3.000000000000000000e+00
4.740090184364237939e+04 3.000000000000000000e+00
4.800091325938468799e+04 3.000000000000000000e+00
4.860092467512699659e+04 3.000000000000000000e+00
4.920093609086930519e+04 3.000000000000000000e+00
4.980094750661161379e+04 3.000000000000000000e+00
5.040095892235392239e+04 3.000000000000000000e+00
5.100097033809623099e+04 3.000000000000000000e+00
5.160098175383853959e+04 3.000000000000000000e+00
5.220099316958084819e+04 3.000000000000000000e+00
5.280100458532315679e+04 3.000000000000000000e+00
5.340101600106546539e+04 3.000000000000000000e+00
5.400102741680777399e+04 3.000000000000000000e+00
5.460103883255008259e+04 1.000000000000000000e+00
5.520105024829239119e+04 1.000000000000000000e+00
5.580106166403469979e+04 1.000000000000000000e+00
5.640107307977700839e+04 1.000000000000000000e+00
5.700108449551931699e+04 1.000000000000000000e+00
5.760109591126162559e+04 1.000000000000000000e+00
5.820110732700393419e+04 1.000000000000000000e+00
5.880111874274624279e+04 1.000000000000000000e+00
5.940113015848855139e+04 1.000000000000000000e+00
6.000114157423085999e+04 1.000000000000000000e+00
6.060115298997316859e+04 1.000000000000000000e+00
6.120116440571547719e+04 1.000000000000000000e+00
6.180117582145778579e+04 1.000000000000000000e+00
6.240118723720009439e+04 1.000000000000000000e+00
6.300119865294240299e+04 1.000000000000000000e+00
6.360121006868471159e+04 1.000000000000000000e+00
6.420122148442702019e+04 1.000000000000000000e+00
6.480123290016932879e+04 1.000000000000000000e+00
6.540124431591163739e+04 1.000000000000000000e+00
6.600125573165394599e+04 1.000000000000000000e+00
6.660126714739625459e+04 1.000000000000000000e+00
6.720127856313856319e+04 1.000000000000000000e+00
6.780128997888087179e+04 1.000000000000000000e+00
6.840130139462318039e+04 2.000000000000000000e+00
6.900131281036548899e+04 2.000000000000000000e+00
6.960132422610779759e+04 2.000000000000000000e+00
7.020133564185010619e+04 2.000000000000000000e+00
7.080134705759241479e+04 2.000000000000000000e+00
7.140135847333472339e+04 2.000000000000000000e+00
7.200136988907703198e+04 2.000000000000000000e+00
7.260138130481934058e+04 2.000000000000000000e+00
7.320139272056164918e+04 2.000000000000000000e+00
7.380140413630395778e+04 2.000000000000000000e+00
7.440141555204626638e+04 2.000000000000000000e+00
7.500142696778857498e+04 2.000000000000000000e+00
7.560143838353088358e+04 2.000000000000000000e+00
7.620144979927319218e+04 2.000000000000000000e+00
7.680146121501550078e+04 2.000000000000000000e+00
7.740147263075780938e+04 2.000000000000000000e+00
7.800148404650011798e+04 2.000000000000000000e+00
7.860149546224242658e+04 2.000000000000000000e+00
7.920150687798473518e+04 2.000000000000000000e+00
7.980151829372704378e+04 2.000000000000000000e+00
8.040152970946935238e+04 2.000000000000000000e+00
8.100154112521166098e+04 2.000000000000000000e+00
8.160155254095396958e+04 2.000000000000000000e+00
8.220156395669627818e+04 2.000000000000000000e+00
8.280157537243858678e+04 2.000000000000000000e+00
8.340158678818089538e+04 2.000000000000000000e+00
8.400159820392320398e+04 2.000000000000000000e+00
8.460160961966551258e+04 2.000000000000000000e+00
8.520162103540782118e+04 2.000000000000000000e+00
8.580163245115012978e+04 2.000000000000000000e+00
8.640164386689243838e+04 2.000000000000000000e+00
8.700165528263474698e+04 2.000000000000000000e+00
8.760166669837705558e+04 2.000000000000000000e+00
8.820167811411936418e+04 2.000000000000000000e+00
8.880168952986167278e+04 2.000000000000000000e+00
8.940170094560398138e+04 2.000000000000000000e+00
9.000171236134628998e+04 2.000000000000000000e+00
9.060172377708859858e+04 2.000000000000000000e+00
9.120173519283090718e+04 2.000000000000000000e+00
9.180174660857321578e+04 2.000000000000000000e+00
9.240175802431552438e+04 2.000000000000000000e+00
9.300176944005783298e+04 2.000000000000000000e+00
9.360178085580014158e+04 2.000000000000000000e+00
9.420179227154245018e+04 1.000000000000000000e+00
9.480180368728475878e+04 1.000000000000000000e+00
9.540181510302706738e+04 1.000000000000000000e+00
9.600182651876937598e+04 1.000000000000000000e+00
9.660183793451168458e+04 3.000000000000000000e+00
9.720184935025399318e+04 3.000000000000000000e+00
9.780186076599630178e+04 3.000000000000000000e+00
9.840187218173861038e+04 3.000000000000000000e+00
9.900188359748091898e+04 3.000000000000000000e+00
9.960189501322322758e+04 3.000000000000000000e+00
1.002019064289655362e+05 3.000000000000000000e+00
1.008019178447078448e+05 3.000000000000000000e+00
1.014019292604501534e+05 3.000000000000000000e+00
1.020019406761924620e+05 3.000000000000000000e+00
1.026019520919347706e+05 3.000000000000000000e+00
1.032019635076770792e+05 3.000000000000000000e+00
1.038019749234193878e+05 3.000000000000000000e+00
1.044019863391616964e+05 3.000000000000000000e+00
1.050019977549040050e+05 3.000000000000000000e+00
1.056020091706463136e+05 3.000000000000000000e+00
1.062020205863886222e+05 3.000000000000000000e+00
1.068020320021309308e+05 3.000000000000000000e+00
1.074020434178732394e+05 3.000000000000000000e+00
1.080020548336155480e+05 3.000000000000000000e+00
1.086020662493578566e+05 3.000000000000000000e+00
1.092020776651001652e+05 3.000000000000000000e+00
1.098020890808424738e+05 3.000000000000000000e+00
1.104021004965847824e+05 3.000000000000000000e+00
1.110021119123270910e+05 3.000000000000000000e+00
1.116021233280693996e+05 3.000000000000000000e+00
1.122021347438117082e+05 3.000000000000000000e+00
1.128021461595540168e+05 3.000000000000000000e+00
1.134021575752963254e+05 3.000000000000000000e+00
1.140021689910386340e+05 3.000000000000000000e+00
1.146021804067809426e+05 3.000000000000000000e+00
1.152021918225232512e+05 3.000000000000000000e+00
1.158022032382655598e+05 3.000000000000000000e+00
1.164022146540078684e+05 3.000000000000000000e+00
1.170022260697501770e+05 3.000000000000000000e+00
1.176022374854924856e+05 3.000000000000000000e+00
1.182022489012347942e+05 3.000000000000000000e+00
1.188022603169771028e+05 3.000000000000000000e+00
1.194022717327194114e+05 3.000000000000000000e+00
1.200022831484617200e+05 3.000000000000000000e+00
1.206022945642040286e+05 3.000000000000000000e+00
1.212023059799463372e+05 3.000000000000000000e+00
1.218023173956886458e+05 3.000000000000000000e+00
1.224023288114309544e+05 3.000000000000000000e+00
1.230023402271732630e+05 3.000000000000000000e+00
1.236023516429155716e+05 3.000000000000000000e+00
1.242023630586578802e+05 3.000000000000000000e+00
1.248023744744001888e+05 3.000000000000000000e+00
1.254023858901424974e+05 3.000000000000000000e+00
1.260023973058848060e+05 3.000000000000000000e+00
1.266024087216271146e+05 3.000000000000000000e+00
1.272024201373694232e+05 3.000000000000000000e+00
1.278024315531117318e+05 3.000000000000000000e+00
1.284024429688540404e+05 3.000000000000000000e+00
1.290024543845963490e+05 3.000000000000000000e+00
1.296024658003386576e+05 3.000000000000000000e+00
1.302024772160809662e+05 3.000000000000000000e+00
1.308024886318232748e+05 3.000000000000000000e+00
1.314025000475655834e+05 3.000000000000000000e+00
1.320025114633078920e+05 3.000000000000000000e+00
1.326025228790502006e+05 3.000000000000000000e+00
1.332025342947925092e+05 3.000000000000000000e+00
1.338025457105348178e+05 3.000000000000000000e+00
1.344025571262771264e+05 3.000000000000000000e+00
1.350025685420194350e+05 3.000000000000000000e+00
1.356025799577617436e+05 3.000000000000000000e+00
1.362025913735040522e+05 3.000000000000000000e+00
1.368026027892463608e+05 3.000000000000000000e+00
1.374026142049886694e+05 3.000000000000000000e+00
1.380026256207309780e+05 3.000000000000000000e+00
1.386026370364732866e+05 3.000000000000000000e+00
1.392026484522155952e+05 3.000000000000000000e+00
1.398026598679579038e+05 3.000000000000000000e+00
